referrer_npi,referrer_entity_type_code,referrer_business_name,referrer_grouping,referrer_classification,referrer_zip_code,referrer_city,referrer_state
1568465375,2,"ARKANSAS FOOT CARE CLINIC, INC",Podiatric Medicine & Surgery Service Providers,Podiatrist,72801,RUSSELLVILLE,AR
1124021720,2,TOTAL HOMECARE CORPORATION,Suppliers,Durable Medical Equipment & Medical Supplies,23805,PETERSBURG,VA
1871596403,2,"CUMBERLAND MEDICAL CENTER, INC.",Hospitals,General Acute Care Hospital,38555,CROSSVILLE,TN
1093718728,2,JOHN T. MATHER MEMORIAL HOSPITAL,Hospitals,General Acute Care Hospital,11777,PORT JEFFERSON,NY
1881697464,2,"CLINICAL ASSOCIATES, LLC",Allopathic & Osteopathic Physicians,Pathology,40220,LOUISVILLE,KY
1740283324,2,"ADVANCED RADIOLOGY SERVICES, P.C.",Allopathic & Osteopathic Physicians,Radiology,49525,GRAND RAPIDS,MI
1144223702,2,LITTLETON HOSPITAL ASSOCIATION,Hospitals,General Acute Care Hospital,03561,LITTLETON,NH
1194728808,2,WABASH GENERAL HOSPITAL DISTRICT,Hospitals,General Acute Care Hospital,62863,MOUNT CARMEL,IL
1003819715,2,THERAPY IN MOTION PC,Ambulatory Health Care Facilities,Clinic/Center,73069,NORMAN,OK
1306849005,2,LINCOLN SURGERY CENTER LLC,Hospitals,Special Hospital,68506,LINCOLN,NE
1073516621,2,HIDDEN VALLEY MEDICAL CENTER INC,Allopathic & Osteopathic Physicians,Internal Medicine,30513,BLUE RIDGE,GA
1982607537,2,"GREATER NEW BEDFORD COMMUNITY HEALTH CENTER, INC.",Ambulatory Health Care Facilities,Clinic/Center,02740,NEW BEDFORD,MA
1417950106,2,CHRISTUS HEALTH NORTHERN LOUISIANA,Hospitals,General Acute Care Hospital,71105,SHREVEPORT,LA
1023011632,2,ALTURA CENTERS FOR HEALTH,Ambulatory Health Care Facilities,Clinic/Center,93274,TULARE,CA
1295738896,2,ST. FRANCIS HOSPITAL INC.,Hospitals,General Acute Care Hospital,19805,WILMINGTON,DE
1679576169,2,COUNTY OF PUTNAM,Transportation Services,Ambulance,38501,COOKEVILLE,TN
1093718587,2,PATHOLOGY ASSOCIATES OF SOUTHWESTERN VIRGINIA INC,Allopathic & Osteopathic Physicians,Pathology,24333,GALAX,VA
1952304438,2,"HOMETOWN RESPIRATORY CONSULTANTS, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,38501,COOKEVILLE,TN
1275536799,2,LAFAYETTE GENERAL MEDICAL CENTER INC,Hospitals,General Acute Care Hospital,70503,LAFAYETTE,LA
1700889227,2,"UNITED STATES MEDICAL SUPPLY, LLC",Suppliers,Durable Medical Equipment & Medical Supplies,33122,DORAL,FL
1326041716,2,"NORTON COMMUNITY HOSPITAL, INC",Hospitals,General Acute Care Hospital,24273,NORTON,VA
1568465938,2,HEALTH COMPLEX MEDICAL LLC,Suppliers,Durable Medical Equipment & Medical Supplies,06705,WATERBURY,CT
1043213358,2,"MRS HOMECARE, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,31768,MOULTRIE,GA
1841293149,2,"CUMBERLAND COUNTY HOSPITAL SYSTEMS, INC",Allopathic & Osteopathic Physicians,Family Medicine,28301,FAYETTEVILLE,NC
1508869918,2,"TRI-COUNTY MEDICAL & OSTOMY SUPPLIES, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,37604,JOHNSON CITY,TN
1477556876,2,MERIDIAN LABORATORY CORP,Laboratories,Clinical Medical Laboratory,28273,CHARLOTTE,NC
1831192152,2,"SUPERIOR MEDICAL SUPPLY, INC",Suppliers,Durable Medical Equipment & Medical Supplies,37421,CHATTANOOGA,TN
1669475950,2,HENDRICKS COUNTY HOSPITAL,Hospitals,General Acute Care Hospital,46122,DANVILLE,IN
1730182023,2,"OCEAN HOME HEALTH SUPPLY, LLC",Suppliers,Durable Medical Equipment & Medical Supplies,08701,LAKEWOOD,NJ
1316940695,2,WATSON CLINIC LLP,Allopathic & Osteopathic Physicians,Internal Medicine,33805,LAKELAND,FL
1558364802,2,MOBILE INFIRMARY ASSOCIATION,Hospitals,General Acute Care Hospital,36607,MOBILE,AL
1093718496,2,RIVERSIDE RADIOLOGY AND INTERVENTIONAL ASSOCIATES INC,Allopathic & Osteopathic Physicians,Radiology,43214,COLUMBUS,OH
1790788040,2,"CARIS HEALTHCARE, LP",Agencies,"Hospice Care, Community Based",37129,MURFREESBORO,TN
1609879956,2,"CARIS HEALTHCARE, LP",Agencies,"Hospice Care, Community Based",37214,NASHVILLE,TN
1972506392,2,"MRS HOMECARE, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,31701,ALBANY,GA
1184627473,2,CARDIOLOGY CENTER LLP,Allopathic & Osteopathic Physicians,Internal Medicine,21701,FREDERICK,MD
1699778985,2,"LAFAYETTE GENERAL SURGICAL HOSPITAL, LLC",Hospitals,General Acute Care Hospital,70503,LAFAYETTE,LA
1568464873,2,DICKSON MEDICAL ASSOCIATES PC,Allopathic & Osteopathic Physicians,Family Medicine,37055,DICKSON,TN
1013919315,2,ATLANTICARE REGIONAL MEDICAL CENTER,Hospitals,General Acute Care Hospital,08240,POMONA,NJ
1114929494,2,GRAYSON COUNTY HOSPITAL FOUNDATION INC,Hospitals,General Acute Care Hospital,42754,LEITCHFIELD,KY
1891797148,2,"MGMC, LLC",Allopathic & Osteopathic Physicians,General Practice,20007,WASHINGTON,DC
1750383931,2,RIO RICO FIRE DISTRICT,Transportation Services,Ambulance,85648,RIO RICO,AZ
1558365890,2,METHODIST HEALTHCARE - MEMPHIS HOSPITALS,Hospitals,General Acute Care Hospital,38104,MEMPHIS,TN
1962404129,2,RIVERSIDE MEDICAL INC,Suppliers,Durable Medical Equipment & Medical Supplies,38372,SAVANNAH,TN
1518969765,2,PENSACOLA NEPHROLOGY PA,Allopathic & Osteopathic Physicians,Internal Medicine,32504,PENSACOLA,FL
1780686931,2,ST MARY MEDICAL CENTER,Hospitals,General Acute Care Hospital,19047,LANGHORNE,PA
1306848650,2,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC.",Ambulatory Health Care Facilities,Clinic/Center,42345,GREENVILLE,KY
1760484919,2,CITY OF SALEM,Transportation Services,Ambulance,24153,SALEM,VA
1659373900,2,"CHICAGO CLINICAL LABORATORIES, LTD",Laboratories,Clinical Medical Laboratory,60062,NORTHBROOK,IL
1396747507,2,"ADVANCED NEPHROLOGY ASSOCIATES, P.C.",Allopathic & Osteopathic Physicians,Internal Medicine,15202,AVALON,PA
1861494072,2,ST. MARGARET'S HEALTH - SPRING VALLEY,Hospitals,General Acute Care Hospital,61362,SPRING VALLEY,IL
1063414258,2,"BOSTON SCIENTIFIC CARDIAC DIAGNOSTIC SERVICES, LLC",Laboratories,Physiological Laboratory,77038,HOUSTON,TX
1780686964,2,"FRANKLIN MEDICAL GROUP, PC",Allopathic & Osteopathic Physicians,Internal Medicine,06706,WATERBURY,CT
1063414233,2,MEMORIAL HOSPITAL,Hospitals,General Acute Care Hospital,48867,OWOSSO,MI
1699777862,2,"PROFESSIONAL EYE ASSOCIATES, INC.",Allopathic & Osteopathic Physicians,Ophthalmology,30720,DALTON,GA
1316949589,2,"SHCP FRANKLIN, INC.",Nursing & Custodial Care Facilities,Skilled Nursing Facility,43235,COLUMBUS,OH
1720080997,2,"MORNING VIEW DELAWARE, INC.",Nursing & Custodial Care Facilities,Skilled Nursing Facility,43074,SUNBURY,OH
1255335535,2,TOTAL RENAL LABORATORIES INC,Laboratories,Clinical Medical Laboratory,32724,DELAND,FL
1376547638,2,BALTIC HEALTH CARE CORP,Nursing & Custodial Care Facilities,Skilled Nursing Facility,43804,BALTIC,OH
1588668842,2,"HALIFAX REGIONAL HOSPITAL, INC.",Hospitals,General Acute Care Hospital,24592,SOUTH BOSTON,VA
1003810375,2,SPECTRA LABORATORIES INC,Laboratories,Clinical Medical Laboratory,95035,MILPITAS,CA
1023010113,2,"SOUTHERN CALIFORNIA HEALTHCARE SYSTEM, INC",Hospitals,General Acute Care Hospital,90028,HOLLYWOOD,CA
1215931290,2,"ASSOCIATED RADIOLOGISTS, LTD.",Allopathic & Osteopathic Physicians,Radiology,72401,JONESBORO,AR
1659375673,2,CITY HOSPITAL ASSOCIATION,Hospitals,General Acute Care Hospital,43920,EAST LIVERPOOL,OH
1053315945,2,"KARL HC, LLC",Nursing & Custodial Care Facilities,Skilled Nursing Facility,43229,COLUMBUS,OH
1578567475,2,"YORKLAND HEALTH CARE, INC.",Nursing & Custodial Care Facilities,Skilled Nursing Facility,43232,COLUMBUS,OH
1164426144,2,MMS EQUIPMENT OF DALLAS CENTRAL INC.,Suppliers,Durable Medical Equipment & Medical Supplies,75235,DALLAS,TX
1114921160,2,"JENNINGS AMERICAN LEGION HOSPITAL, INC.",Hospitals,General Acute Care Hospital,70546,JENNINGS,LA
1891799623,2,"EMERALD COAST REHABILITATION CENTER, LLC",Nursing & Custodial Care Facilities,Skilled Nursing Facility,32548,FORT WALTON BEACH,FL
1164426045,2,"ANNE ARUNDEL UROLOGY, PA",Other Service Providers,Specialist,21401,ANNAPOLIS,MD
1437153285,2,"MIDWEST EAR NOSE AND THROAT SURGERY, PSC",Allopathic & Osteopathic Physicians,Otolaryngology,47714,EVANSVILLE,IN
1053315846,2,"HIGHLAND CLINIC, A PROF MED CORP",Ambulatory Health Care Facilities,Clinic/Center,71105,SHREVEPORT,LA
1609870310,2,EXCELSIOR SPRINGS CITY HOSPITAL,Hospitals,General Acute Care Hospital,64024,EXCELSIOR SPRINGS,MO
1346244126,2,MERCY HEALTH-LOURDES HOSPITAL LLC,Hospitals,General Acute Care Hospital,42003,PADUCAH,KY
1558365247,2,DIGESTIVE HEALTHCARE OF GEORGIA,Allopathic & Osteopathic Physicians,Internal Medicine,30309,ATLANTA,GA
1982608691,2,SOUTHERN FAMILY MEDICINE,Ambulatory Health Care Facilities,Clinic/Center,39428,COLLINS,MS
1518961176,2,SOUTHEAST EYE SPECIALISTS PLLC,Allopathic & Osteopathic Physicians,Ophthalmology,37421,CHATTANOOGA,TN
1972507580,2,KADLEC REGIONAL MEDICAL CENTER,Hospitals,General Acute Care Hospital,99352,RICHLAND,WA
1881698439,2,"LIBERATOR MEDICAL SUPPLY, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,34996,STUART,FL
1780688333,2,"CALDWELL COUNTY HOSPITAL, INC",Allopathic & Osteopathic Physicians,Preventive Medicine,42445,PRINCETON,KY
1356345920,2,MEDAC HEALTH SERVICES PA,Ambulatory Health Care Facilities,Clinic/Center,28403,WILMINGTON,NC
1730183286,2,"UNIVERSITY PHYSICIANS & SURGEONS, INC",Allopathic & Osteopathic Physicians,Internal Medicine,25701,HUNTINGTON,WV
1710981238,2,STEWART COUNTY EMS,Transportation Services,Ambulance,37058,DOVER,TN
1790789147,2,EASTERN MAINE MEDICAL CENTER,Hospitals,General Acute Care Hospital,04401,BANGOR,ME
1861496341,2,JACKSON COUNTY COURT HOUSE EXECUTIVE,Transportation Services,Ambulance,38562,GAINESBORO,TN
1932103413,2,MOUNT SINAI HOSPITAL,Hospitals,General Acute Care Hospital,10029,NEW YORK,NY
1891799227,2,"NORTON HOSPITALS, INC",Hospitals,General Acute Care Hospital,40202,LOUISVILLE,KY
1669476099,2,AFFORDABLE HOME HEALTH CARE INC,Suppliers,Durable Medical Equipment & Medical Supplies,72450,PARAGOULD,AR
1669476032,2,"MEDICAL LABORATORY DIAGNOSTICS, INC.",Laboratories,Clinical Medical Laboratory,07927,CEDAR KNOLLS,NJ
1821092297,2,"REGIONAL TOXICOLOGY SERVICES, LLC",Laboratories,Clinical Medical Laboratory,98421,TACOMA,WA
1699779017,2,PERRY COUNTY MEMORIAL HOSPITAL,Hospitals,General Acute Care Hospital,47586,TELL CITY,IN
1760487086,2,MARVEL CLINIC P.C.,Other Service Providers,Specialist,37388,TULLAHOMA,TN
1790780047,2,UMASS MEMORIAL HEALTH-HARRINGTON HOSPITAL INC,Hospitals,General Acute Care Hospital,01550,SOUTHBRIDGE,MA
1265437644,2,"WEST JEFFERSON HOLDINGS, LLC",Hospitals,General Acute Care Hospital,70072,MARRERO,LA
1003811381,2,FORT SANDERS PERINATAL CENTER,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,37916,KNOXVILLE,TN
1417952748,2,"BETHESDA HOSPITAL, INC.",Hospitals,General Acute Care Hospital,33435,BOYNTON BEACH,FL
1053316265,2,COUNTY OF MONTGOMERY-OFFICE OF COUNTY JUDGE,Transportation Services,Ambulance,37040,CLARKSVILLE,TN
1801891080,2,JOHNS HOPKINS UNIVERSITY,Allopathic & Osteopathic Physicians,Internal Medicine,21287,BALTIMORE,MD
1679578850,2,"ST. VINCENT ANDERSON REGIONAL HOSPITAL, INC.",Hospitals,General Acute Care Hospital,46016,ANDERSON,IN
1588669766,2,"UNITED IMAGING CONSULTANTS, LLC",Allopathic & Osteopathic Physicians,Radiology,66202,MISSION,KS
1003811290,2,"PROVIDENCE HOSPITAL, LLC",Hospitals,General Acute Care Hospital,29204,COLUMBIA,SC
1215932520,2,NORTHEAST FLORIDA ENDOCRINE AND DIABETES ASSOCIATES PA,Other Service Providers,Specialist,32204,JACKSONVILLE,FL
1942205166,2,CLAIBORNE MEDICAL CENTER,Hospitals,General Acute Care Hospital,37879,TAZEWELL,TN
1114922341,2,"MONTGOMERY GENERAL HOSPITAL, INC.",Hospitals,General Acute Care Hospital,20832,OLNEY,MD
1215932413,2,"ANESTHESIA MEDICAL GROUP, PC",Allopathic & Osteopathic Physicians,Anesthesiology,37203,NASHVILLE,TN
1992700124,2,CAROLINA MEDICAL LAB GROUP INC.,Laboratories,Clinical Medical Laboratory,28213,CHARLOTTE,NC
1174528335,2,"SEALS AMBULANCE SERVICE, INC.",Transportation Services,Ambulance,46218,INDIANAPOLIS,IN
1013912286,2,"ELKHART CLINIC, LLC",Ambulatory Health Care Facilities,Clinic/Center,46514,ELKHART,IN
1811992084,2,ABINGTON MEMORIAL HOSPITAL,Hospitals,General Acute Care Hospital,19001,ABINGTON,PA
1629073614,2,ALL CARE PLUS INC.,Agencies,Home Health,38556,JAMESTOWN,TN
1528063534,2,LAKELAND MEDICAL ASSOCIATES,Allopathic & Osteopathic Physicians,Family Medicine,75751,ATHENS,TX
1669477550,2,"FAMILY COUNSELING CENTER, INC.",Agencies,Community/Behavioral Health,63857,KENNETT,MO
1376548271,2,ASSOCIATED REGIONAL AND UNIVERSITY PATHOLOGISTS INC,Laboratories,Clinical Medical Laboratory,84108,SALT LAKE CITY,UT
1689679581,2,ALLE-KISKI MEDICAL CENTER,Hospitals,General Acute Care Hospital,15065,NATRONA HEIGHTS,PA
1528063542,2,CENTER FOR PAIN MANAGEMENT PLLC,Allopathic & Osteopathic Physicians,Pain Medicine,28401,WILMINGTON,NC
1073518007,2,CABELL HUNTINGTON HOSPITAL INC,Hospitals,General Acute Care Hospital,25701,HUNTINGTON,WV
1720083769,2,UNIVERSITY OF CONNECTICUT HEALTH CENTER,Allopathic & Osteopathic Physicians,General Practice,06030,FARMINGTON,CT
1770588683,2,"GRUNDY COUNTY HEALTH SERVICES, INC.",Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,37387,TRACY CITY,TN
1578568481,2,SLIDELL MEMORIAL HOSPITAL,Hospitals,General Acute Care Hospital,70458,SLIDELL,LA
1912902826,2,STEPHENVILLE MEDICAL AND SURGICAL CLINIC PA,Allopathic & Osteopathic Physicians,Family Medicine,76401,STEPHENVILLE,TX
1679578439,2,MOTHER FRANCES HOSPITAL REGIONAL HEALTH CARE CENTER,Hospitals,General Acute Care Hospital,75701,TYLER,TX
1780689463,2,"TIDALHEALTH PENINSULA REGIONAL, INC.",Hospitals,General Acute Care Hospital,21801,SALISBURY,MD
1235134958,2,STANLY COUNTY IMAGING PLLC,Allopathic & Osteopathic Physicians,Radiology,28001,ALBEMARLE,NC
1356346100,2,JOHNS HOPKINS UNIVERSITY,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,21287,BALTIMORE,MD
1447255153,2,WHITE PLAINS HOSPITAL MEDICAL CENTER,Hospitals,General Acute Care Hospital,10601,WHITE PLAINS,NY
1457356172,2,"OXYGEN ONE, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,53188,WAUKESHA,WI
1235134024,2,VIRTUA OUR LADY OF LOURDES HOSPITAL INC,Hospitals,General Acute Care Hospital,08103,CAMDEN,NJ
1316942162,2,EASCARE LLC,Transportation Services,Ambulance,02188,WEYMOUTH,MA
1497750244,2,HENRY COUNTY MEDICAL CENTER,Hospitals,General Acute Care Hospital,38242,PARIS,TN
1811992670,2,VANCOUVER RADIOLOGISTS A PROFESSIONAL CORP,Allopathic & Osteopathic Physicians,Radiology,98662,VANCOUVER,WA
1679578223,2,SUMNER REGIONAL MEDICAL CENTER,Hospitals,General Acute Care Hospital,67152,WELLINGTON,KS
1619972254,2,COMPUNET CLINICAL LABORATORIES LLC,Laboratories,Clinical Medical Laboratory,45439,MORAINE,OH
1992700512,2,HEALTHTEXAS-MED PROVIDER,Allopathic & Osteopathic Physicians,Internal Medicine,75246,DALLAS,TX
1013912633,2,THE VALLEY HOSPITAL INC.,Hospitals,General Acute Care Hospital,07450,RIDGEWOOD,NJ
1821093378,2,CALMAR INC.,Suppliers,Durable Medical Equipment & Medical Supplies,87110,ALBUQUERQUE,NM
1538164090,2,"UNIVERSITY HEALTH SYSTEM, INC.",Hospitals,General Acute Care Hospital,37920,KNOXVILLE,TN
1932104510,2,"CLARKSVILLE LIMB & BRACE & REHAB., INC.",Suppliers,Prosthetic/Orthotic Supplier,37040,CLARKSVILLE,TN
1437154010,2,"MEDSTAR SURGICAL & BREATHING EQUIPMENT, INC.",Suppliers,Durable Medical Equipment & Medical Supplies,11577,ROSLYN HEIGHTS,NY
1093710568,2,DYERSBURG CLINIC CORP,Allopathic & Osteopathic Physicians,Family Medicine,38024,DYERSBURG,TN
1417952995,2,"EYE SURGICAL ASSOCIATES, LLC",Allopathic & Osteopathic Physicians,Ophthalmology,68506,LINCOLN,NE
1205832797,2,COUNTY OF RUTHERFORD OFFICE OF BUDGET DIRECTOR,Transportation Services,Ambulance,37130,MURFREESBORO,TN
1689679193,2,"EMERGENCY MOBILE HEALTH CARE, LLC",Transportation Services,Ambulance,38133,MEMPHIS,TN
1386649804,2,CENTRAL SUFFOLK HOSPITAL,Hospitals,General Acute Care Hospital,11901,RIVERHEAD,NY
1881690212,2,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,Hospitals,General Acute Care Hospital,17011,CAMP HILL,PA
1417953845,2,MEADOWVIEW EAR NOSE AND THROAT SPEC PC,Other Service Providers,Specialist,37660,KINGSPORT,TN
1639175094,2,AGILITAS USA INC,Ambulatory Health Care Facilities,Clinic/Center,37027,BRENTWOOD,TN
1073519443,2,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Hospitals,General Acute Care Hospital,92227,BRAWLEY,CA
1437155819,2,"NEW JERSEY PAIN MANAGEMENT, PA",Other Service Providers,Specialist,07834,DENVILLE,NJ
1124024534,2,"CHATTANOOGA GASTROENTEROLOGY, PC",Allopathic & Osteopathic Physicians,Internal Medicine,37404,CHATTANOOGA,TN
1053317362,2,"DOCTORS HOSPITAL AT RENAISSANCE, LTD",Hospitals,General Acute Care Hospital,78539,EDINBURG,TX
1275539587,2,"JEWISH HOSPITAL & ST. MARY'S HEALTHCARE, INC.",Hospitals,General Acute Care Hospital,40202,LOUISVILLE,KY
1780680017,2,"RENO RADIOLOGICAL ASSOCIATES, CHARTERED",Allopathic & Osteopathic Physicians,Radiology,89502,RENO,NV
1003812215,2,RADIOLOGY & INTERVENTIONAL ASSOCIATES OF METAIRIE LLC,Allopathic & Osteopathic Physicians,Radiology,70006,METAIRIE,LA
1417953787,2,ROCKWOOD CLINIC PS,Allopathic & Osteopathic Physicians,Internal Medicine,99202,SPOKANE,WA
1558367797,2,ELIZABETH H OTTMAN PSC,Allopathic & Osteopathic Physicians,Obstetrics & Gynecology,42303,OWENSBORO,KY
1316943566,2,"ACADIAN AMBULANCE SERVICE, INC.",Transportation Services,Ambulance,70508,LAFAYETTE,LA
1881690261,2,SUTTON SKIN AND EYE CLINIC PC,Allopathic & Osteopathic Physicians,Dermatology,68516,LINCOLN,NE
1639175045,2,ASSOCIATES IN OPHTHALMOLOGY LTD,Allopathic & Osteopathic Physicians,Ophthalmology,15122,WEST MIFFLIN,PA
1114923406,2,"THE MEDICAL CENTER OF PEACH COUNTY, INC",Hospitals,General Acute Care Hospital,31008,BYRON,GA
1215933510,2,"SOUTHERN EYE ASSOCIATES OF SOUTH CAROLINA, PA",Allopathic & Osteopathic Physicians,Ophthalmology,29605,GREENVILLE,SC
1760488936,2,HEALTHTEXAS PROVIDER NETWORK,Allopathic & Osteopathic Physicians,Family Medicine,75246,DALLAS,TX
1073519377,2,SMYTH COUNTY COMMUNITY HOSPITAL,Hospitals,General Acute Care Hospital,24354,MARION,VA
1952307175,2,"MIDWEST RADIOLOGY, PA",Allopathic & Osteopathic Physicians,Radiology,55113,ROSEVILLE,MN
1225034333,2,"PIEDMONT HENRY HOSPITAL, INC.",Hospitals,General Acute Care Hospital,30281,STOCKBRIDGE,GA
1538165600,2,HARDIN COUNTY GENERAL HOSPITAL,Hospitals,General Acute Care Hospital,62982,ROSICLARE,IL
1538165527,2,FREDERICK HEALTH HOSPITAL INC,Hospitals,General Acute Care Hospital,21701,FREDERICK,MD
1952307027,2,"NORTON HOSPITALS, INC",Hospitals,General Acute Care Hospital,40217,LOUISVILLE,KY
1225034234,2,FLORIDA HOSPITAL MEDICAL GROUP INC,Allopathic & Osteopathic Physicians,Family Medicine,32751,MAITLAND,FL
1982600920,2,EASTERN PLUMAS HEALTH CARE DISTRICT,Hospitals,General Acute Care Hospital,96122,PORTOLA,CA
1831195908,2,"NORTON HOSPITALS, INC",Hospitals,General Acute Care Hospital,40207,LOUISVILLE,KY
1902802986,2,SYNERGY RADIOLOGY ASSOCIATES PLLC,Allopathic & Osteopathic Physicians,Radiology,77024,HOUSTON,TX
1992701825,2,CIVISTA MEDICAL CENTER INC,Hospitals,General Acute Care Hospital,20646,LA PLATA,MD
1922004852,2,PIEDMONT PATHOLOGY ASSOCIATES INC,Allopathic & Osteopathic Physicians,Pathology,28602,HICKORY,NC
1598761355,2,"UPPER CHESAPEAKE MEDICAL CENTER, INC.",Hospitals,General Acute Care Hospital,21014,BEL AIR,MD
1770589533,2,"HARFORD MEMORIAL HOSPITAL, INC.",Hospitals,General Acute Care Hospital,21078,HAVRE DE GRACE,MD
1528064409,2,"VIRTUA - WEST JERSEY HEALTH SYSTEM, INC.",Hospitals,General Acute Care Hospital,08043,VOORHEES,NJ
1619973682,2,BLUEGRASS INTERNAL MEDICINE PLLC,Allopathic & Osteopathic Physicians,Internal Medicine,42303,OWENSBORO,KY
1134125016,2,"VIRTUA - MEMORIAL HOSPITAL BURLINGTON COUNTY, INC.",Hospitals,General Acute Care Hospital,08060,MOUNT HOLLY,NJ
1093711996,2,BETTER LIVING NOW INC,Suppliers,Durable Medical Equipment & Medical Supplies,11788,HAUPPAUGE,NY
1174529036,2,"CHARLES E. WILSON, MD, PC",Allopathic & Osteopathic Physicians,Urology,35630,FLORENCE,AL
1700882578,2,NORMAN REGIONAL HOSPITAL AUTHORITY,Hospitals,General Acute Care Hospital,73071,NORMAN,OK
1477559433,2,STONEWALL JACKSON MEMORIAL HOSPITAL COMPANY,Hospitals,General Acute Care Hospital,26452,WESTON,WV
1114923919,2,EASTERN PLUMAS HEALTH CARE DISTRICT,Ambulatory Health Care Facilities,Clinic/Center,96122,PORTOLA,CA
1205832029,2,ANCHOR MEDICAL ASSOCIATES,Allopathic & Osteopathic Physicians,General Practice,02865,LINCOLN,RI
