referrer_npi,referrer_entity_type_code,referrer_last_name,referrer_first_name,referrer_credential,referrer_specialization,referrer_zip_code,referrer_city,referrer_state
1003819269,1,JANKOV,ALEKSANDAR,MD,Hematology & Oncology,38120,MEMPHIS,TN
1831192087,1,FLEMING,RICHARD,MD,Diagnostic Radiology,37232,NASHVILLE,TN
1104829340,1,COTHREN,JACKSON,MD,Gynecology,37203,NASHVILLE,TN
1407859630,1,LESSENBERRY,BARRET,M.D.,,42141,GLASGOW,KY
1962405183,1,FOX,DANIEL,MD,Diagnostic Radiology,37916,KNOXVILLE,TN
1548263726,1,STRNAD,BRADLEY,MD,Diagnostic Radiology,46804,FORT WAYNE,IN
1093718272,1,BLAZER,DAVID,MD,Cardiovascular Disease,37055,DICKSON,TN
1174526354,1,BROOKS,MARIA,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1154324325,1,DAUPHIN,PASCAL,M.D.,"Endocrinology, Diabetes & Metabolism",37075,HENDERSONVILLE,TN
1972506145,1,ROSE,STEPHEN,M.D.,,37066,GALLATIN,TN
1235132408,1,BELLARDO,LEWIS,M.D.,,37203,NASHVILLE,TN
1891798047,1,SHAFFER,CYNTHIA,NP-C,Adult Medicine,37363,OOLTEWAH,TN
1952304107,1,FANG,DAVID,MD,Vascular & Interventional Radiology,38119,MEMPHIS,TN
1215930466,1,DINKINS,JUAN,DO,Orthopaedic Surgery of the Spine,37055,DICKSON,TN
1225031461,1,DASARI,VARALAXMI,M.D.,Diagnostic Radiology,37203,NASHVILLE,TN
1124021365,1,GRAVES,WILLIAM,MD,Nuclear Radiology,38138,GERMANTOWN,TN
1902809098,1,HANEY,KATHERINE,MD,,37203,NASHVILLE,TN
1295739522,1,KOS,DAVID,DO,Diagnostic Radiology,32803,ORLANDO,FL
1003819277,1,CAGE,JOHN,M.D.,Cardiovascular Disease,37203,NASHVILLE,TN
1902809171,1,MORRISON,KEITH,M.D.,Hand Surgery,42103,BOWLING GREEN,KY
1437152691,1,KRUEGER,SYLVIA,MD,Hematology & Oncology,37311,CLEVELAND,TN
1073516274,1,CHINTANADILOK,JIRAYOS,M.D.,Pulmonary Disease,32446,MARIANNA,FL
1790788982,1,ALEXANDER,JEAN,MD,,37055,DICKSON,TN
1336142520,1,BOALS,JAMES,MD,Vascular & Interventional Radiology,38138,GERMANTOWN,TN
1174526339,1,DAVIS,RANDALL,MD,Nuclear Radiology,38138,GERMANTOWN,TN
1144223306,1,DONOVAN,TIMOTHY,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1679576839,1,HARTNESS,WILLIAM,M.D.,Cardiovascular Disease,37203,NASHVILLE,TN
1073516225,1,BURCH,ROY,M.D.,,37027,BRENTWOOD,TN
1518960640,1,OBI,EMMANUEL,MD,,38012,BROWNSVILLE,TN
1457354599,1,DEFLUMERE,CHARLOTTE,M.D.,,38119,MEMPHIS,TN
1023011137,1,SETTONNI,LORETTA,MD,Diagnostic Radiology,45662,PORTSMOUTH,OH
1376546481,1,DUNN,MELANIE,M.D.,,37203,NASHVILLE,TN
1669475760,1,KALLAB,ANDRE,M.D.,Hematology & Oncology,30501,GAINESVILLE,GA
1528061629,1,HALCOMB,RHONDA,M.D.,,37076,HERMITAGE,TN
1326041435,1,DRAUGHN,JEFFREY,MD,,37203,NASHVILLE,TN
1407859598,1,STARKWEATHER,KEITH,M.D.,,37040,CLARKSVILLE,TN
1992708002,1,ENYENIHI,HENRY,MD,,38002,ARLINGTON,TN
1700889813,1,HUFFNAGLE,VERA,MD,Neurology,37055,DICKSON,TN
1720081821,1,KAUPPI,JEFFREY,PA,,37055,DICKSON,TN
1366445462,1,ANDERSON,EDWARD,DPM,,42420,HENDERSON,KY
1992708077,1,LUCAS,DOLORES,MD,,37055,DICKSON,TN
1881697969,1,MALMQUIST,GREGG,M.D.,,42103,BOWLING GREEN,KY
1609879782,1,GREENE,KRISTINA,PA-C,,37040,CLARKSVILLE,TN
1144223223,1,HIRSCH,MARTIN,M.D.,,37203,NASHVILLE,TN
1255334322,1,KURTZ,BRYAN,M.D.,,37232,NASHVILLE,TN
1063415131,1,LUPLOW,ROLLAND,MD,,37055,DICKSON,TN
1376546432,1,MACEY,JOHN,M.D.,,37203,NASHVILLE,TN
1316940471,1,MCCULLOUGH,CAROL,M.D.,,37076,HERMITAGE,TN
1568465623,1,CROSSLEY,GEORGE,M.D.,Cardiovascular Disease,37232,NASHVILLE,TN
1407859382,1,LEMMI,MICHAEL,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1093718801,1,VERMILLION,DAVID,M.D.,,60450,MORRIS,IL
1902809718,1,MARTIN,DAVID,DO,,38201,MC KENZIE,TN
1568465482,1,RICHARDSON,BRENDA,MD,Cardiovascular Disease,38138,GERMANTOWN,TN
1053314963,1,RANKIN,KEVIN,M.D.,Cardiovascular Disease,37203,NASHVILLE,TN
1699778506,1,SHAHMIR,MORTEZA,M.D.,Gastroenterology,42104,BOWLING GREEN,KY
1043213945,1,HALFORD,HOLLIS,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1942203849,1,FRANKLIN,JERRY,M.D.,Cardiovascular Disease,37067,FRANKLIN,TN
1659374544,1,HUTCHINS,ERIC,MD,Nuclear Radiology,38138,GERMANTOWN,TN
1225031073,1,BARTLETT,THOMAS,MD,Clinical Cardiac Electrophysiology,37205,NASHVILLE,TN
1245233063,1,STANTON,JOHN,M.D.,,37040,CLARKSVILLE,TN
1609879501,1,EVERETT,LEON,MD,,38464,LAWRENCEBURG,TN
1609879527,1,LADSON,JAMES,MD,Pain Medicine,37128,MURFREESBORO,TN
1467455287,1,MERRICK,BRYAN,MD,,38201,MC KENZIE,TN
1083617872,1,BACKER,THOMAS,M.D.,Cardiovascular Disease,30022,ALPHARETTA,GA
1992708788,1,LAUREL,EDGARDO,M.D.,Nephrology,85016,PHOENIX,AZ
1013910892,1,LEJEUNE,EMIKO,M.S.,,37043,CLARKSVILLE,TN
1609879683,1,NORTON,JONATHAN,D.P.M.,Foot & Ankle Surgery,46804,FORT WAYNE,IN
1063415735,1,MILAM,MARY,MD,Hematology & Oncology,76104,FORT WORTH,TX
1003819772,1,DEPASS,STEVEN,"CRNA, MS",,37122,MOUNT JULIET,TN
1720081490,1,MURPHY,MICHAEL,M.D.,Nephrology,89703,CARSON CITY,NV
1619970688,1,BUECHNER,DAVID,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1952304925,1,CARRUTH,PAUL,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1770586745,1,THUAN,ROBERT,MD,,37055,DICKSON,TN
1841293743,1,HANSEN,DALE,MD,Vascular & Interventional Radiology,38104,MEMPHIS,TN
1174526065,1,MILAM,LISA,APN,Women's Health,37232,NASHVILLE,TN
1083617971,1,HAUSMANN,JAMES,MD,Nuclear Radiology,38138,GERMANTOWN,TN
1649273327,1,FRIEDLAND,EDWARD,M.D.,Nephrology,32504,PENSACOLA,FL
1972506947,1,MURRAY,THOMAS,M.D.,Pulmonary Disease,30501,GAINESVILLE,GA
1699778407,1,AQUILAR,DANNY,DPM,Foot & Ankle Surgery,72801,RUSSELLVILLE,AR
1215930029,1,SHIFFMAN,STEPHEN,M.D.,,38119,MEMPHIS,TN
1205839263,1,THORNBURG,CATHERINE,M.D.,,37203,NASHVILLE,TN
1528061488,1,NG,FEDERICO,MD,,78229,SAN ANTONIO,TX
1659374593,1,SHARMA,RAMIT,M.D.,Pulmonary Disease,85037,PHOENIX,AZ
1700889763,1,STAGGS,STEPHEN,M.D.,,37027,BRENTWOOD,TN
1508869561,1,BLAIR,MARK,M.D.,,37388,TULLAHOMA,TN
1467455394,1,KNIGHT,STEVEN,MD,Diagnostic Radiology,37920,KNOXVILLE,TN
1285637124,1,PLATZER,PETER,M.D.,,37660,KINGSPORT,TN
1891798542,1,BOALS,CHRISTOPHER,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1932102670,1,ROSS,KERRY,MD,,37055,DICKSON,TN
1073516704,1,SCHMIDT,PAUL,MD,,76043,GLEN ROSE,TX
1700889433,1,HOWARD,DAVID,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1366445835,1,ROBERTS,JON,MD,Vascular & Interventional Radiology,38138,MEMPHIS,TN
1578566071,1,MOFFITT,ROBERT,M.D.,Nephrology,85012,PHOENIX,AZ
1457354185,1,DRAKE-BARRACK,ALISON,M.D.,,30068,MARIETTA,GA
1568465284,1,FEE,KIRK,M.D.,,42103,BOWLING GREEN,KY
1194728816,1,SHAH,NIRMAL,M.D.,Cardiovascular Disease,21702,FREDERICK,MD
1457354177,1,PATTON,CHRISTOPHER,M.D.,,42103,BOWLING GREEN,KY
1609879329,1,VITARELLO,JOHN,M.D.,Cardiovascular Disease,21702,FREDERICK,MD
1396748943,1,PTAK,ANTOINETTE,M.D.,,19963,MILFORD,DE
1235132895,1,NEYRA,ROXANA,M.D.,Nephrology,85012,PHOENIX,AZ
1417950023,1,ASHMAN,CAROL,M.D.,Diagnostic Radiology,23455,VIRGINIA BEACH,VA
1689677296,1,BABA,RAUF,MD,"Endocrinology, Diabetes & Metabolism",38024,DYERSBURG,TN
1700889326,1,WANG,SHOUWEN,M.D.,Nephrology,85012,PHOENIX,AZ
1356344048,1,CONNER,DANA,M.D.,Undersea and Hyperbaric Medicine,30512,BLAIRSVILLE,GA
1982607602,1,RICHARDS,DAVID,M.D.,,42103,BOWLING GREEN,KY
1528061223,1,MCRAY,DAVID,M.D.,,37130,MURFREESBORO,TN
1326041922,1,CLAYTON,ANNA,M.D.,MOHS-Micrographic Surgery,37204,NASHVILLE,TN
1396748877,1,BRADFORD,WILLIAM,M.D.,Radiation Oncology,37388,TULLAHOMA,TN
1891798377,1,RUSSELL,LORI,P.A.,Medical,37388,TULLAHOMA,TN
1215930789,1,MOSER,DAVIS,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1477556942,1,PARIKH,SALIL,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1659374296,1,COLOTTA,TERRY,MD,,38201,MC KENZIE,TN
1457354979,1,SPARROW,RICHARD,DPM,,44278,TALLMADGE,OH
1275536682,1,ARGO,CYNTHIA,NURSE PRACTITIONER,Family,38242,PARIS,TN
1972506384,1,SHELTON,BRIXEY,MD,Vascular & Interventional Radiology,38138,GERMANTOWN,TN
1386647766,1,LYNCH,LEANDRA,MD,,85711,TUCSON,AZ
1548263916,1,STOCKSTILL,TODD,MD,Radiation Oncology,38104,MEMPHIS,TN
1831192285,1,WEBER,PHILIP,MD,Vascular & Interventional Radiology,38119,MEMPHIS,TN
1033112461,1,BROTMAN,DAVID,MD,,72450,PARAGOULD,AR
1598768806,1,MANIFOLD,STEPHEN,M.D.,,19904,DOVER,DE
1285637694,1,MITAL,CHETNA,,,45013,HAMILTON,OH
1538162946,1,SELVIDGE,SIDNEY,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1780687194,1,SCHEITEL,STEPHEN,D.C.,,37129,MURFREESBORO,TN
1447254776,1,DUBAL,NILESH,MD,Radiation Oncology,32901,MELBOURNE,FL
1295738680,1,GIESCHEN,HOLGER,MD,Radiation Oncology,38104,MEMPHIS,TN
1073516340,1,TEDDER,MARK,M.D.,,37205,NASHVILLE,TN
1144223553,1,WEATHERLY,MARK,MD,Vascular & Interventional Radiology,38138,GERMANTOWN,TN
1053314427,1,CRABTREE,JOHN,,,37388,TULLAHOMA,TN
1073515300,1,ELLIS,WILLIAM,MD,Cardiovascular Disease,31792,THOMASVILLE,GA
1881696110,1,KARAS,JAMES,MD,Cardiovascular Disease,31792,THOMASVILLE,GA
1861495152,1,POMPHREY,ROBERT,MD,,38351,LEXINGTON,TN
1548263825,1,BRAR,JUGROOP,MD,Pulmonary Disease,85374,SURPRISE,AZ
1871596148,1,LEICHUS,LEONARD,M.D.,Gastroenterology,32308,TALLAHASSEE,FL
1669475927,1,NESBITT,JONATHAN,M.D.,,37232,NASHVILLE,TN
1720081078,1,SCHULMAN,BARRY,D.P.M.,,37312,CLEVELAND,TN
1356344691,1,SOLOMON,AARON,D.P.M.,,30742,FORT OGLETHORPE,GA
1518960855,1,BELLO,CLAIR,DPM,,37303,ATHENS,TN
1942203286,1,HARDING,ERIC,MD,,38652,NEW ALBANY,MS
1851394191,1,MCCLURE,CHRISTOPHER,M.D.,Cardiovascular Disease,37040,CLARKSVILLE,TN
1487657722,1,MADAELIL,PHILIP,"M.D., F.A.C.C.",Cardiovascular Disease,37040,CLARKSVILLE,TN
1730182064,1,GENTRY,MICHAEL,D.O.,,29649,GREENWOOD,SC
1932101243,1,PARDO,RICARDO,MD,Neurology,77521,BAYTOWN,TX
1891797189,1,WEINBERG,GABRIEL,D.O.,Nephrology,15202,PITTSBURGH,PA
1275535551,1,SCOTT,MICHAEL,D.O.,,38652,NEW ALBANY,MS
1740282003,1,CONNELL,DON,M.D.,Diagnostic Radiology,31326,RINCON,GA
1942202288,1,GRAY,DENNIS,M.D.,,40217,LOUISVILLE,KY
1023010360,1,CONROY,LAURI,M.D.,,48054,EAST CHINA,MI
1790787059,1,THOMAS,THOMAS,M.D.,,64068,LIBERTY,MO
1730181090,1,EVERMAN,KELLY,M.D.,Ophthalmic Plastic and Reconstructive Surgery,37203,NASHVILLE,TN
1063414316,1,SCHWARTZ,STEPHANIE,MD,Neurology,77521,BAYTOWN,TX
1356343594,1,BASSAM,DEENI,M.D.,Interventional Pain Medicine,20110,MANASSAS,VA
1972505105,1,PETRACEK,MICHAEL,M.D.,,37205,NASHVILLE,TN
1336141555,1,VANNORSDALL,MARK,M.D.,Nephrology,32504,PENSACOLA,FL
1255333456,1,USMAN,AMIR,MD,,30240,LAGRANGE,GA
1518969799,1,GANZ,JODI,M.D.,,30326,ATLANTA,GA
1316941644,1,FORNEY,VIRGINIA,M.D.,,30305,ATLANTA,GA
1063414225,1,NADLER,MATTHEW,M.D.,Interventional Pain Medicine,66223,OVERLAND PARK,KS
1558363689,1,SKINNER,ROBERT,DO,,38672,SOUTHAVEN,MS
1972505279,1,EVERHART,ANTHONY,MD,,37660,KINGSPORT,TN
1609878974,1,COPE,JOHN,M.D.,,30535,DEMOREST,GA
1932101284,1,KING,MATTHEW,M.D.,,38549,BYRDSTOWN,TN
1235131574,1,MOORE,CHRISTINE,DO,,64083,RAYMORE,MO
1003818246,1,BATES,KATHRYN,DO,Cardiovascular Disease,85710,TUCSON,AZ
1396747598,1,SMALLS,ARNOLD,MD,,30240,LAGRANGE,GA
1508868704,1,MODI,ANIL,MD,,30240,LAGRANGE,GA
1689676876,1,GRADY,ANN,M.D.,Cardiovascular Disease,02720,FALL RIVER,MA
1376545566,1,HUMEDA,HUMAM,MD,Nephrology,32504,PENSACOLA,FL
1285636472,1,WILES,RONNIE,MD,Nephrology,32504,PENSACOLA,FL
1770585945,1,STACK,MICHAEL,MD PHD,Rheumatology,46227,INDIANAPOLIS,IN
1124022405,1,KING,KAREN,D.O.,,75218,DALLAS,TX
1497757595,1,JANI,SIDDHARTH,M.D.,,62863,MOUNT CARMEL,IL
1982606943,1,GIBSON,JEFFREY,MD,,37205,NASHVILLE,TN
1831193101,1,EATON,ANTHONY,M.D.,,01844,METHUEN,MA
1629072699,1,INGRAM,RICHARD,MD,,30240,LAGRANGE,GA
1609870591,1,WEBER,BRUCE,M.D.,,62033,GILLESPIE,IL
1427052315,1,SWEET,WILLIAM,M.D.,,42240,HOPKINSVILLE,KY
1417951302,1,DODGE,KENNETH,M.D.,,37064,FRANKLIN,TN
1861496838,1,THOMPSON,JOHN,M.D.,,37135,NOLENSVILLE,TN
1942204912,1,ALDERSON,MITCHELL,M.D.,Cardiovascular Disease,29020,CAMDEN,SC
1902800998,1,BERGAMINI,DAVID,M.D.,,42101,BOWLING GREEN,KY
1861496853,1,GANIME,CHARLES,D.P.M.,,37398,WINCHESTER,TN
1346244324,1,OGUNTOLU,OLUSOLA,MD,Pulmonary Disease,37209,NASHVILLE,TN
1861496754,1,ALVAREZ,GREGORY,DPM,Foot & Ankle Surgery,30214,FAYETTEVILLE,GA
1629072525,1,NEWMAN,LESLIE,M.D.,Allergy,37129,MURFREESBORO,TN
1770587677,1,CHOWBEY,VANDANA,M.D.,,37129,MURFREESBORO,TN
1952305989,1,ROBERTO,PAUL,MD,,23112,MIDLOTHIAN,VA
1417951450,1,GREESON,DAVID,MD,,37027,BRENTWOOD,TN
1457355257,1,NIEDERMEYER,MICHAEL,MD,Pulmonary Disease,37203,NASHVILLE,TN
1265436083,1,WEISS,LORI,O.D.,,37055,DICKSON,TN
1700880531,1,KIRK,CHERYL,M.D.,Anatomic Pathology & Clinical Pathology,35805,HUNTSVILLE,AL
1144224981,1,COWAN,HANSON,MD,Pulmonary Disease,37203,NASHVILLE,TN
1649274515,1,BANNERMAN,DANA,MD,,37203,NASHVILLE,TN
1699779561,1,CAVANAH,DIANA,M.D.,,42101,BOWLING GREEN,KY
1841294717,1,CHOU,WESLEY,M.D.,Neurology,42101,BOWLING GREEN,KY
1912901752,1,THOMPSON,ROBERT,MD,,40223,LOUISVILLE,KY
1255335006,1,HANSBROUGH,JAMES,M.D.,Pulmonary Disease,42101,BOWLING GREEN,KY
1417951278,1,MOHYUDDIN,NAVED,MD,,37203,NASHVILLE,TN
1326042185,1,LIN,CHARLES,M.D.,Clinical Cardiac Electrophysiology,42101,BOWLING GREEN,KY
1497759286,1,FRASER,ASAD,M.D.,Rheumatology,42101,BOWLING GREEN,KY
1497759294,1,SCHNEIDER,FRANKLIN,MD,Cardiovascular Disease,02904,PROVIDENCE,RI
1427052224,1,PEACOCK,MARK,MD,Pulmonary Disease,37203,NASHVILLE,TN
1154325959,1,SANAPATI,MAHENDRA,M.D.,Interventional Pain Medicine,47714,EVANSVILLE,IN
1811991680,1,ANDREWS,HEATHER,MD,,37236,NASHVILLE,TN
1073517843,1,LOSEKAMP,CRAIG,M.D.,,42101,BOWLING GREEN,KY
1710981667,1,EKLUND,JANICE,APRN,Women's Health,40291,LOUISVILLE,KY
1366446171,1,CAPIZZI,STEPHEN,MD,Pulmonary Disease,37203,NASHVILLE,TN
1528062338,1,HUMPHREY,PAUL,M.D.,Vascular Surgery,65201,COLUMBIA,MO
1164426979,1,CARPENTER,CHACE,MD,Pulmonary Disease,37203,NASHVILLE,TN
1518961325,1,WEISS,DONALD,O.D.,,37055,DICKSON,TN
1780688606,1,SHAPIRO,ADAM,M.D.,Facial Plastic Surgery,00802,ST THOMAS,VI
1568466480,1,CASSIDY,BEAU,FNP-C,Family,37083,LAFAYETTE,TN
1386648160,1,DRESKIN,STEPHEN,MD,Pain Medicine,37421,CHATTANOOGA,TN
1205830015,1,JONES,BILLY,DO,,37130,MURFREESBORO,TN
1154325827,1,SCHWENGEL,ROBERT,MD,Cardiovascular Disease,02842,MIDDLETOWN,RI
1699779389,1,DAO,HIEN,MD,,32547,FORT WALTON BEACH,FL
1619971314,1,ABADI,CHRISTOPHER,MD,Cardiovascular Disease,02842,MIDDLETOWN,RI
1215931928,1,BRANTLEY,MILAM,M.D.,,37232,NASHVILLE,TN
1679577555,1,PRUITT,KATHRYN,APN,Family,38611,BYHALIA,MS
1710981519,1,BALLER,JEFFREY,D.P.M.,Foot & Ankle Surgery,63901,POPLAR BLUFF,MO
1144224957,1,ODEM,CARROLL,MD,,30102,ACWORTH,GA
1962406793,1,CLARK,RICHARD,MD,,38556,JAMESTOWN,TN
1902800733,1,SHERMAN,JONATHAN,MD,,97401,EUGENE,OR
1376547117,1,HAASE,TAGE,M.D.,,42103,BOWLING GREEN,KY
1467456228,1,JOHN,BIJOY,MD,Sleep Medicine,37069,FRANKLIN,TN
1639173495,1,HAVENER,HOPE,M.D.,,42103,BOWLING GREEN,KY
1508860214,1,BEASLEY,JASON,M.D.,,39428,COLLINS,MS
1679577324,1,PETERSON,EDWARD,MD,,37421,CHATTANOOGA,TN
1700880465,1,NAWAZ,SHAHID,MD,Hematology & Oncology,11772,EAST PATCHOGUE,NY
1972507630,1,TU,LI-KUN,M.D.,,30046,LAWRENCEVILLE,GA
1104820760,1,HEYMAN,STEPHEN,MD,Pulmonary Disease,37203,NASHVILLE,TN
1174527733,1,MARCH,JEROME,D.O.,,46311,DYER,IN
1871597435,1,WALSH,THOMAS,DO,,37128,MURFREESBORO,TN
1659375228,1,SMITH,GARY,M.D.,,37221,NASHVILLE,TN
1013911601,1,LEYTON-GONZALEZ,LUIS,M.D.,,97477,SPRINGFIELD,OR
1083618680,1,KERR,MARY,M.D.,,37203,NASHVILLE,TN
1215931852,1,LEE,ROBERT,MD,,37660,KINGSPORT,TN
1295739845,1,REINA,ROBERT,M.D.,,95370,SONORA,CA
1184628737,1,BROWN,BARRY,DO,,24457,LOW MOOR,VA
1457355174,1,BUKER,JOHN,M.D.,MOHS-Micrographic Surgery,40509,LEXINGTON,KY
1841294451,1,BALLOU,JAMES,MD,Infectious Disease,24457,LOW MOOR,VA
1023012572,1,JARBEAU,JENNIFER,MD,Cardiovascular Disease,02886,WARWICK,RI
1265436711,1,CRAIG,ROBERT,MD,Facial Plastic Surgery,63141,SAINT LOUIS,MO
1184628802,1,DONCHEY,STEVEN,MD,,32539,CRESTVIEW,FL
1710981444,1,ADAMS,JOHN,M.D.,Vascular Surgery,65201,COLUMBIA,MO
1396749859,1,FORD,JOHN,M.D.,,97401,EUGENE,OR
1407850134,1,SARIDAKIS,MICHAEL,MD,,42141,GLASGOW,KY
1811991540,1,LEVINE,LARRY,D.O.,,34698,DUNEDIN,FL
1053315796,1,SPEED,LEE,CRNA,,24014,ROANOKE,VA
1578567210,1,WARD,BRYAN,MD,,37203,NASHVILLE,TN
1558365205,1,MULLINS,BRENT,M.D.,Hematology & Oncology,38117,MEMPHIS,TN
1558365049,1,CHAMBERS,DEBORAH,MD,,29910,BLUFFTON,SC
1699779199,1,SANDWICH,JAMES,M.D.,,30214,FAYETTEVILLE,GA
1164426672,1,KILGORE,WILLIAM,M.D.,,24382,WYTHEVILLE,VA
1871597385,1,RATLIFF,DONALD,M.D.,,38827,BELMONT,MS
1063416592,1,RICHARD,FLOYD,M.D.,,37203,NASHVILLE,TN
1861496390,1,VELASCO,JOSE,MD,,37660,KINGSPORT,TN
1760486112,1,DODSON,MOLLIE,MD,,38583,SPARTA,TN
1881698231,1,RAM,CHITHRA,M.D.,Diagnostic Radiology,40202,LOUISVILLE,KY
1396749750,1,CROWDER,DOROTHY,FNP,Family,37232,NASHVILLE,TN
1598769077,1,MADSON,DERALD,M.D.,Vascular Surgery,43701,ZANESVILLE,OH
1992709364,1,PHILIPPOSE,JAY,M.D.,Gastroenterology,37404,CHATTANOOGA,TN
1063416436,1,MOREDOCK,AARON,PAC,,37236,NASHVILLE,TN
1801890223,1,NNAJI,FELIX,MD,,38008,BOLIVAR,TN
1194729525,1,COOPER,ROBERT,M.D.,,40769,WILLIAMSBURG,KY
1750386181,1,KRICK,JOSEPH,M.D.,,37388,TULLAHOMA,TN
1336143759,1,BUENO,DAMASO,M.D.,Nephrology,85395,GOODYEAR,AZ
1497759898,1,RICKMAN,CHRISTOPHER,MD,Diagnostic Radiology,55344,EDEN PRAIRIE,MN
1720082126,1,GOENKA,PUNEET,M.D.,Gastroenterology,37604,JOHNSON CITY,TN
1194720532,1,ALCANTARA,ANTHONY,M.D.,Diagnostic Radiology,48035,CLINTON TOWNSHIP,MI
1376548727,1,FRAZEE,JOANNE,ACNP,Acute Care,37232,NASHVILLE,TN
1922003334,1,ALEXANDRE,HOLLY,MD,,02747,NORTH DARTMOUTH,MA
1699770016,1,DEMOVILLE,RAYMOND,MD,,37066,GALLATIN,TN
1518962877,1,FOX,ELIZABETH,MD,,24382,WYTHEVILLE,VA
1407851884,1,MCGUIRE,THOMAS,M.D.,,37311,CLEVELAND,TN
1710982103,1,CRUTCHFIELD,PAUL,M.D.,,30720,DALTON,GA
1518962901,1,SUCHER,JOHN,M.D.,,30720,DALTON,GA
1588669972,1,MAHVI,KATHLEEN,M.D.,,30720,DALTON,GA
1205831666,1,GRAHAM,BOBBY,M.D.,Medical Oncology,39216,JACKSON,MS
1487659843,1,PERLMUTTER,MARTIN,M.D.,,32507,PENSACOLA,FL
1447255815,1,HARRIS,MATTHEW,D.C.,,37064,FRANKLIN,TN
1083619456,1,CATE,BRIAN,M.D.,Diagnostic Radiology,38138,GERMANTOWN,TN
1326043688,1,MCCAIN,ARTHUR,MD,Diagnostic Radiology,31201,MACON,GA
1104821594,1,HEIN,BERNARD,MD,,30720,DALTON,GA
1538164942,1,CALENDINE,CHRISTOPHER,MD,,37857,ROGERSVILLE,TN
1144225590,1,MCCARTHY,CLARE,MD,,38103,MEMPHIS,TN
1780689141,1,RANZ,DAVID,MD,,37232,NASHVILLE,TN
1902801384,1,LEFLER,LEE,MD,Diagnostic Radiology,37203,NASHVILLE,TN
1285639674,1,GOODGE,BRENT,M.D.,,30720,DALTON,GA
1740285063,1,MARVEL,JEFFREY,M.D.,,37388,TULLAHOMA,TN
1922003276,1,MUNCH,DOROTHY,D.O.,,63901,POPLAR BLUFF,MO
1356346605,1,SMITH,SULLIVAN,MD,,38501,COOKEVILLE,TN
1417952706,1,GIGUERE,JEFFREY,MD,Hematology & Oncology,29672,SENECA,SC
1760487979,1,VENKATESH,LATHA,M.D.,,45459,CENTERVILLE,OH
1518962745,1,OZMUN,RICHARD,M.D.,Diagnostic Radiology,75460,PARIS,TX
1790780930,1,SMITH,CHARLES,M.D.,,76048,GRANBURY,TX
